t,cum_rmse_xy,cum_rmse_theta
39.557892084121704,0.001518141789892798,0.0007792602603630926
39.59790539741516,0.0027340073694938206,0.001289005856945783
39.66829013824463,0.00412583098659592,0.0020726035964061416
39.697773694992065,0.005434874825503028,0.0035793282717535026
39.77825403213501,0.0069639979125321666,0.0055511417952197675
39.80783820152283,0.008511051802516318,0.008006483401160662
39.84820199012756,0.010296948907465683,0.011205462395203612
39.918065786361694,0.012180017775781263,0.014974356747802247
39.95775032043457,0.01414031104752499,0.01913063422238386
40.02830982208252,0.01631124717917083,0.024008802148036315
40.057960748672485,0.018595284936547423,0.029348550126547336
40.09790396690369,0.021050662242274285,0.03546961862969101
40.167980909347534,0.023605746152270627,0.042013798442668226
40.208027601242065,0.026208787538317787,0.04883214667668705
40.23751211166382,0.028983455755191342,0.056247015866286304
40.31791067123413,0.03186539303505358,0.06398582334824836
40.34801483154297,0.03483683499148346,0.07188285451241994
40.41804027557373,0.037980299854917535,0.08025978469931029
40.45814895629883,0.041245555336727406,0.08886828368570043
40.49790573120117,0.04472413757512355,0.09795735793510632
40.56820058822632,0.0483589775640243,0.10724388219930693
40.59876370429993,0.05211974799768095,0.11651205418500124
40.67828321456909,0.05612184102970665,0.12601641471472919
40.708274126052856,0.06032941419624957,0.13552963211138658
40.74803352355957,0.06485642345866492,0.14522677924983318
40.81787705421448,0.06960079177323529,0.15492456953850836
40.85778522491455,0.07451278122044752,0.16453011847462998
40.92833614349365,0.07973536043285846,0.17419717736317109
40.95775556564331,0.08517615951937951,0.1837929773444857
40.99831795692444,0.09077989650719331,0.19324922269186834
41.0682168006897,0.09668966353199086,0.20271367236700732
41.108046531677246,0.1028310382702197,0.2120827286978139
41.137537479400635,0.10933893334630161,0.22147967592639417
41.21791863441467,0.11610249865756986,0.23077662479419003
41.24787187576294,0.12305923340029098,0.23990472946531308
41.31782913208008,0.1303538340587465,0.2490036114200386
41.35778260231018,0.13789841429191912,0.2579701363223494
41.39820647239685,0.14582429220712909,0.266867209853124
41.46820664405823,0.15402251942805578,0.27562976480250656
41.49804377555847,0.1624171379053124,0.2841988057788743
41.568100452423096,0.171166083647543,0.29265240582058033
41.60815405845642,0.18015880201425677,0.300929613156582
41.64797115325928,0.1895349074093535,0.309032919600283
41.71861529350281,0.19917214470186914,0.3168963550608153
41.757811069488525,0.2089776880145649,0.3244949934571437
41.82824945449829,0.21910647512590153,0.3318630049273864
41.85793089866638,0.22943815500228265,0.3389682457711292
41.8983678817749,0.2401050381416707,0.3458262476773484
41.967880964279175,0.2509709437206071,0.35241314832655424
42.00828409194946,0.26194379687436853,0.3587185413348449
42.03758215904236,0.2731699780196234,0.3647673374959885
42.11813449859619,0.2845338419904437,0.3705423981150666
